class_name,sentence
question-1,How to create working area?
question-1,How to make working area?
question-1,What is the process of working area creation?
question-2,How to create Samity?
question-2,How to create Group?
question-2,From where and how can we make Samity?
question-2,From where and how can we make Group?
question-2,How to open a new Samity?
question-2,How to open a new Group?
question-3,How to add member?
question-3,How to add new member?
question-3,How to perform member admission in microfin360?
question-4,How to open savings account?
question-4,How to open a new savings account?
question-4,How to create a general savings account?
question-5,How to disburse loan to a member?
question-5,What is the process of a new loan Disburse?
question-5,How to create a new loan?
question-6,From where we can entry regula collection?
question-6,What is the process of entering Samity day collection?
question-6,What is the regular collection entry process?
question-7,How to give posting of without Samity day collection Loan?
question-7,How to give posting of without Samity day collection Savings?
question-7,How to enter without Samity day Loan collection?
question-7,How to enter without Samity day Savings collection?
question-7,From which menu we can give posting of without irregular Loan collection?
question-7,From which menu we can give posting of without irregular Savings collection?
question-8,How to change password?
question-8,From where we can change password?
question-8,How to change password frequently?
question-9,How to correct savings deposit wrong entry?
question-9,What is the process of correcting savings deposit entry?
question-9,From which menu we can correct wrong deposit entry?
question-10,How to correct loan transaction wrong entry?
question-10,What is the process of loan transaction wrong entry?
question-10,What should I do for a wrong transaction entry?
question-11,From where we can see voucher?
question-11,How to check voucher?
question-11,Which menu to use for showing all vouchers?
question-12,Where we can entry bank deposit or withdraw?
question-12,How to enter bank deposit?
question-12,How to give bank deposit posting?
question-13,How to correct voucher wrong entry?
question-13,What is the process of correcting voucher wrong entry?
question-13,What should we do to correct a wrong entry in voucher?
question-14,How to generate auto voucher?
question-14,From where we can generate auto voucher?
question-14,What is the process of auto voucher generation?
